Date,Cases,Deaths,Hospitalisations,Cases_diff,Deaths_diff
2020-09-19,217116.0,4022.0,,326.0,-5.0
2020-09-20,217370.0,4030.0,,254.0,8.0
2020-09-21,217485.0,4039.0,,115.0,9.0
2020-09-22,217759.0,4084.0,,274.0,45.0
2020-09-23,218115.0,4095.0,,356.0,11.0
2020-09-24,218420.0,4153.0,,305.0,58.0
2020-09-25,218650.0,4158.0,,230.0,5.0
2020-09-26,218861.0,4201.0,,211.0,43.0
2020-09-27,219039.0,4203.0,,178.0,2.0
2020-09-28,219202.0,4205.0,,163.0,2.0
2020-09-29,219373.0,4233.0,,171.0,28.0
2020-09-30,219704.0,4244.0,,331.0,11.0
2020-10-01,220056.0,4252.0,,352.0,8.0
2020-10-02,220365.0,4260.0,,309.0,8.0
2020-10-03,220696.0,4262.0,,331.0,2.0
2020-10-04,220910.0,4299.0,,214.0,37.0
2020-10-05,221061.0,4304.0,,151.0,5.0
2020-10-06,221320.0,4332.0,,259.0,28.0
2020-10-07,221719.0,4373.0,,399.0,41.0
2020-10-08,222038.0,4386.0,,319.0,13.0
2020-10-09,222374.0,4414.0,,336.0,28.0
2020-10-10,222745.0,4444.0,,371.0,30.0
2020-10-11,223011.0,4450.0,,266.0,6.0
2020-10-12,223169.0,4461.0,,158.0,11.0
2020-10-13,223436.0,4492.0,,267.0,31.0
2020-10-14,223863.0,4527.0,,427.0,35.0
2020-10-15,224158.0,4597.0,,295.0,70.0
2020-10-16,224534.0,4601.0,,376.0,4.0
2020-10-17,224863.0,4618.0,,329.0,17.0
2020-10-18,225181.0,4618.0,,318.0,0.0
2020-10-19,225559.0,4621.0,,378.0,3.0
2020-10-20,225734.0,4673.0,,175.0,52.0
2020-10-21,226073.0,4679.0,,339.0,6.0
2020-10-22,226363.0,4693.0,,290.0,14.0
2020-10-23,226695.0,4696.0,,332.0,3.0
2020-10-24,226963.0,4701.0,,268.0,5.0
2020-10-25,227193.0,4703.0,,230.0,2.0
2020-10-26,227350.0,4707.0,,157.0,4.0
2020-10-27,227559.0,4711.0,22.0,209.0,4.0
2020-10-28,227833.0,4713.0,12.0,274.0,2.0
2020-10-29,228128.0,4717.0,20.0,295.0,4.0
2020-10-30,228432.0,4719.0,,304.0,2.0
2020-10-31,228756.0,4721.0,2.0,324.0,2.0
2020-11-01,228948.0,4828.0,1.0,192.0,107.0
2020-11-02,229040.0,4828.0,9.0,92.0,0.0
2020-11-03,229220.0,4836.0,16.0,180.0,8.0
2020-11-04,229490.0,4845.0,11.0,270.0,9.0
2020-11-05,229702.0,4852.0,20.0,212.0,7.0
2020-11-06,229954.0,4859.0,12.0,252.0,7.0
2020-11-07,230165.0,4861.0,1.0,211.0,2.0
2020-11-08,230299.0,4862.0,3.0,134.0,1.0
2020-11-09,230412.0,4863.0,12.0,113.0,1.0
2020-11-10,230559.0,4870.0,15.0,147.0,7.0
2020-11-11,230834.0,4872.0,12.0,275.0,2.0
2020-11-12,231074.0,4873.0,12.0,240.0,1.0
2020-11-13,231277.0,4877.0,7.0,203.0,4.0
2020-11-14,231479.0,4877.0,2.0,202.0,0.0
2020-11-15,231643.0,4882.0,1.0,164.0,5.0
2020-11-16,231733.0,4889.0,14.0,90.0,7.0
2020-11-17,231860.0,4931.0,25.0,127.0,42.0
2020-11-18,232147.0,4935.0,16.0,287.0,4.0
2020-11-19,232388.0,4958.0,19.0,241.0,23.0
2020-11-20,232653.0,4960.0,15.0,265.0,2.0
2020-11-21,232856.0,4960.0,5.0,203.0,0.0
2020-11-22,233036.0,4968.0,1.0,180.0,8.0
2020-11-23,233164.0,4970.0,13.0,128.0,2.0
2020-11-24,233343.0,4989.0,24.0,179.0,19.0
2020-11-25,233710.0,4996.0,18.0,367.0,7.0
2020-11-26,233995.0,5001.0,16.0,285.0,5.0
2020-11-27,234305.0,5004.0,13.0,310.0,3.0
2020-11-28,234572.0,5005.0,2.0,267.0,1.0
2020-11-29,234831.0,5006.0,1.0,259.0,1.0
2020-11-30,234957.0,5009.0,20.0,126.0,3.0
2020-12-01,235193.0,5014.0,36.0,236.0,5.0
2020-12-02,235664.0,5018.0,33.0,471.0,4.0
2020-12-03,236086.0,5026.0,26.0,422.0,8.0
2020-12-04,236653.0,5032.0,40.0,567.0,6.0
2020-12-05,237207.0,5039.0,8.0,554.0,7.0
2020-12-06,237719.0,5040.0,1.0,512.0,1.0
2020-12-07,238256.0,5042.0,26.0,537.0,2.0
2020-12-08,239099.0,5053.0,55.0,843.0,11.0
2020-12-09,240261.0,5069.0,57.0,1162.0,16.0
2020-12-10,241495.0,5077.0,51.0,1234.0,8.0
2020-12-11,242902.0,5097.0,77.0,1407.0,20.0
2020-12-12,244242.0,5108.0,18.0,1340.0,11.0
2020-12-13,245360.0,5111.0,26.0,1118.0,3.0
2020-12-14,246116.0,5115.0,58.0,756.0,4.0
2020-12-15,247394.0,5125.0,88.0,1278.0,10.0
2020-12-16,249181.0,5135.0,10.0,1787.0,10.0
2020-12-17,250910.0,5146.0,82.0,1729.0,11.0
2020-12-18,252390.0,5161.0,103.0,1480.0,15.0
2020-12-19,254649.0,5179.0,27.0,2259.0,18.0
2020-12-20,256595.0,5180.0,12.0,1946.0,1.0
2020-12-21,258202.0,5196.0,107.0,1607.0,16.0
2020-12-22,259962.0,5226.0,110.0,1760.0,30.0
2020-12-23,263166.0,5260.0,110.0,3204.0,34.0
2020-12-24,266296.0,5282.0,80.0,3130.0,22.0
2020-12-25,269889.0,5305.0,,3593.0,23.0
2020-12-26,272504.0,5317.0,18.0,2615.0,12.0
2020-12-27,274272.0,5334.0,20.0,1768.0,17.0
2020-12-28,276133.0,5356.0,61.0,1861.0,22.0
2020-12-29,278516.0,5424.0,91.0,2383.0,68.0
2020-12-30,282642.0,5465.0,115.0,4126.0,41.0
